Category: All categories

Week,Auto insurance: (Portugal)
2010-01-03,0
2010-01-10,0
2010-01-17,0
2010-01-24,75
2010-01-31,70
2010-02-07,54
2010-02-14,0
2010-02-21,32
2010-02-28,54
2010-03-07,0
2010-03-14,0
2010-03-21,0
2010-03-28,0
2010-04-04,0
2010-04-11,0
2010-04-18,0
2010-04-25,40
2010-05-02,0
2010-05-09,0
2010-05-16,0
2010-05-23,0
2010-05-30,0
2010-06-06,100
2010-06-13,37
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,0
2010-07-18,45
2010-07-25,0
2010-08-01,0
2010-08-08,0
2010-08-15,0
2010-08-22,55
2010-08-29,0
2010-09-05,0
2010-09-12,0
2010-09-19,43
2010-09-26,77
2010-10-03,0
2010-10-10,86
2010-10-17,0
2010-10-24,0
2010-10-31,0
2010-11-07,0
2010-11-14,90
2010-11-21,0
2010-11-28,0
2010-12-05,0
2010-12-12,0
2010-12-19,0
2010-12-26,0
