Category: All categories

Week,Bottled water: (Portugal)
2009-01-04,41
2009-01-11,0
2009-01-18,0
2009-01-25,0
2009-02-01,59
2009-02-08,43
2009-02-15,0
2009-02-22,36
2009-03-01,0
2009-03-08,0
2009-03-15,28
2009-03-22,0
2009-03-29,0
2009-04-05,0
2009-04-12,0
2009-04-19,28
2009-04-26,0
2009-05-03,0
2009-05-10,0
2009-05-17,0
2009-05-24,0
2009-05-31,28
2009-06-07,0
2009-06-14,0
2009-06-21,83
2009-06-28,0
2009-07-05,0
2009-07-12,0
2009-07-19,0
2009-07-26,0
2009-08-02,0
2009-08-09,0
2009-08-16,0
2009-08-23,0
2009-08-30,60
2009-09-06,0
2009-09-13,50
2009-09-20,62
2009-09-27,0
2009-10-04,0
2009-10-11,28
2009-10-18,0
2009-10-25,35
2009-11-01,0
2009-11-08,0
2009-11-15,0
2009-11-22,0
2009-11-29,0
2009-12-06,0
2009-12-13,0
2009-12-20,0
2009-12-27,0
2010-01-03,0
2010-01-10,0
2010-01-17,0
2010-01-24,0
2010-01-31,0
2010-02-07,0
2010-02-14,0
2010-02-21,28
2010-02-28,0
2010-03-07,0
2010-03-14,54
2010-03-21,32
2010-03-28,0
2010-04-04,57
2010-04-11,0
2010-04-18,23
2010-04-25,24
2010-05-02,0
2010-05-09,0
2010-05-16,0
2010-05-23,0
2010-05-30,0
2010-06-06,0
2010-06-13,0
2010-06-20,0
2010-06-27,0
2010-07-04,46
2010-07-11,45
2010-07-18,0
2010-07-25,100
2010-08-01,54
2010-08-08,0
2010-08-15,0
2010-08-22,0
2010-08-29,28
2010-09-05,37
2010-09-12,0
2010-09-19,0
2010-09-26,0
2010-10-03,0
2010-10-10,27
2010-10-17,0
2010-10-24,0
2010-10-31,0
2010-11-07,33
2010-11-14,0
2010-11-21,0
2010-11-28,0
2010-12-05,0
2010-12-12,0
2010-12-19,0
2010-12-26,0
