Category: All categories

Week,Energy: (Portugal),Juice: (Portugal)
2012-01-01,74,3
2012-01-08,85,6
2012-01-15,84,4
2012-01-22,81,3
2012-01-29,70,3
2012-02-05,81,4
2012-02-12,73,4
2012-02-19,64,3
2012-02-26,77,4
2012-03-04,77,5
2012-03-11,84,3
2012-03-18,81,4
2012-03-25,64,3
2012-04-01,53,3
2012-04-08,68,5
2012-04-15,89,3
2012-04-22,75,5
2012-04-29,81,4
2012-05-06,90,3
2012-05-13,97,4
2012-05-20,95,4
2012-05-27,100,4
2012-06-03,83,5
2012-06-10,77,3
2012-06-17,67,7
2012-06-24,72,3
2012-07-01,67,5
2012-07-08,60,5
2012-07-15,51,4
2012-07-22,46,4
2012-07-29,42,6
2012-08-05,42,5
2012-08-12,41,4
2012-08-19,45,4
2012-08-26,46,6
2012-09-02,46,5
2012-09-09,58,4
2012-09-16,66,5
2012-09-23,56,3
2012-09-30,52,4
2012-10-07,58,3
2012-10-14,61,4
2012-10-21,62,5
2012-10-28,63,5
2012-11-04,67,4
2012-11-11,63,3
2012-11-18,66,4
2012-11-25,71,6
2012-12-02,69,6
2012-12-09,67,5
2012-12-16,56,4
2012-12-23,64,5
2012-12-30,72,5
