Category: All categories

Week,Hairdresser: (Portugal)
2015-01-04,72
2015-01-11,57
2015-01-18,71
2015-01-25,69
2015-02-01,71
2015-02-08,69
2015-02-15,79
2015-02-22,75
2015-03-01,63
2015-03-08,72
2015-03-15,63
2015-03-22,70
2015-03-29,73
2015-04-05,74
2015-04-12,76
2015-04-19,68
2015-04-26,70
2015-05-03,68
2015-05-10,63
2015-05-17,73
2015-05-24,79
2015-05-31,83
2015-06-07,71
2015-06-14,87
2015-06-21,70
2015-06-28,74
2015-07-05,80
2015-07-12,77
2015-07-19,88
2015-07-26,77
2015-08-02,78
2015-08-09,96
2015-08-16,95
2015-08-23,100
2015-08-30,83
2015-09-06,84
2015-09-13,81
2015-09-20,82
2015-09-27,80
2015-10-04,90
2015-10-11,75
2015-10-18,64
2015-10-25,69
2015-11-01,82
2015-11-08,67
2015-11-15,73
2015-11-22,73
2015-11-29,71
2015-12-06,83
2015-12-13,67
2015-12-20,80
2015-12-27,88
