Category: All categories

Week,Energy: (Portugal),Offal: (Portugal)
2017-01-01,62,0
2017-01-08,81,0
2017-01-15,92,1
2017-01-22,79,0
2017-01-29,78,0
2017-02-05,77,0
2017-02-12,76,0
2017-02-19,77,0
2017-02-26,77,0
2017-03-05,85,0
2017-03-12,88,0
2017-03-19,80,1
2017-03-26,88,0
2017-04-02,68,0
2017-04-09,67,0
2017-04-16,66,0
2017-04-23,77,0
2017-04-30,82,0
2017-05-07,85,2
2017-05-14,87,1
2017-05-21,86,1
2017-05-28,100,0
2017-06-04,88,0
2017-06-11,75,0
2017-06-18,58,0
2017-06-25,57,0
2017-07-02,65,0
2017-07-09,53,0
2017-07-16,61,0
2017-07-23,48,0
2017-07-30,53,1
2017-08-06,47,0
2017-08-13,47,0
2017-08-20,50,0
2017-08-27,52,0
2017-09-03,53,1
2017-09-10,54,2
2017-09-17,60,0
2017-09-24,63,0
2017-10-01,61,0
2017-10-08,67,0
2017-10-15,73,0
2017-10-22,66,0
2017-10-29,62,0
2017-11-05,69,0
2017-11-12,85,0
2017-11-19,68,0
2017-11-26,72,2
2017-12-03,64,1
2017-12-10,74,0
2017-12-17,57,0
2017-12-24,64,1
2017-12-31,77,0
