Category: All categories

Week,Offal: (Portugal)
2008-01-06,26
2008-01-13,0
2008-01-20,0
2008-01-27,0
2008-02-03,0
2008-02-10,0
2008-02-17,26
2008-02-24,0
2008-03-02,0
2008-03-09,0
2008-03-16,0
2008-03-23,0
2008-03-30,0
2008-04-06,0
2008-04-13,30
2008-04-20,0
2008-04-27,0
2008-05-04,0
2008-05-11,0
2008-05-18,0
2008-05-25,0
2008-06-01,0
2008-06-08,22
2008-06-15,29
2008-06-22,0
2008-06-29,0
2008-07-06,0
2008-07-13,0
2008-07-20,0
2008-07-27,0
2008-08-03,0
2008-08-10,0
2008-08-17,0
2008-08-24,28
2008-08-31,0
2008-09-07,26
2008-09-14,0
2008-09-21,0
2008-09-28,0
2008-10-05,100
2008-10-12,0
2008-10-19,17
2008-10-26,0
2008-11-02,0
2008-11-09,37
2008-11-16,0
2008-11-23,0
2008-11-30,0
2008-12-07,0
2008-12-14,0
2008-12-21,0
2008-12-28,0
2009-01-04,21
2009-01-11,0
2009-01-18,14
2009-01-25,0
2009-02-01,0
2009-02-08,45
2009-02-15,0
2009-02-22,0
2009-03-01,0
2009-03-08,0
2009-03-15,36
2009-03-22,0
2009-03-29,71
2009-04-05,0
2009-04-12,0
2009-04-19,0
2009-04-26,0
2009-05-03,15
2009-05-10,0
2009-05-17,0
2009-05-24,42
2009-05-31,0
2009-06-07,17
2009-06-14,0
2009-06-21,0
2009-06-28,0
2009-07-05,0
2009-07-12,0
2009-07-19,0
2009-07-26,0
2009-08-02,39
2009-08-09,0
2009-08-16,0
2009-08-23,89
2009-08-30,0
2009-09-06,37
2009-09-13,0
2009-09-20,0
2009-09-27,0
2009-10-04,0
2009-10-11,0
2009-10-18,0
2009-10-25,0
2009-11-01,0
2009-11-08,18
2009-11-15,0
2009-11-22,0
2009-11-29,0
2009-12-06,0
2009-12-13,0
2009-12-20,0
2009-12-27,0
