Category: All categories

Week,Energy: (Portugal),Automotive industry: (Portugal)
2014-01-05,85,1
2014-01-12,80,1
2014-01-19,80,2
2014-01-26,82,2
2014-02-02,73,1
2014-02-09,80,0
2014-02-16,71,2
2014-02-23,76,3
2014-03-02,68,1
2014-03-09,72,2
2014-03-16,81,1
2014-03-23,86,1
2014-03-30,77,0
2014-04-06,62,1
2014-04-13,61,1
2014-04-20,67,1
2014-04-27,67,1
2014-05-04,79,1
2014-05-11,86,2
2014-05-18,99,1
2014-05-25,100,1
2014-06-01,97,2
2014-06-08,88,2
2014-06-15,84,1
2014-06-22,78,1
2014-06-29,69,1
2014-07-06,69,1
2014-07-13,61,1
2014-07-20,52,2
2014-07-27,51,2
2014-08-03,48,0
2014-08-10,41,1
2014-08-17,51,2
2014-08-24,46,0
2014-08-31,62,0
2014-09-07,56,1
2014-09-14,66,2
2014-09-21,66,2
2014-09-28,72,1
2014-10-05,79,3
2014-10-12,71,1
2014-10-19,64,3
2014-10-26,74,0
2014-11-02,72,2
2014-11-09,76,3
2014-11-16,67,3
2014-11-23,66,3
2014-11-30,63,1
2014-12-07,74,1
2014-12-14,65,1
2014-12-21,58,1
2014-12-28,73,0
