Category: All categories

Week,Margarine: (Portugal)
2009-01-04,0
2009-01-11,0
2009-01-18,25
2009-01-25,26
2009-02-01,60
2009-02-08,20
2009-02-15,0
2009-02-22,0
2009-03-01,0
2009-03-08,29
2009-03-15,0
2009-03-22,0
2009-03-29,0
2009-04-05,0
2009-04-12,26
2009-04-19,0
2009-04-26,0
2009-05-03,36
2009-05-10,39
2009-05-17,0
2009-05-24,22
2009-05-31,32
2009-06-07,48
2009-06-14,0
2009-06-21,0
2009-06-28,0
2009-07-05,0
2009-07-12,17
2009-07-19,0
2009-07-26,0
2009-08-02,0
2009-08-09,0
2009-08-16,0
2009-08-23,41
2009-08-30,43
2009-09-06,17
2009-09-13,0
2009-09-20,0
2009-09-27,0
2009-10-04,0
2009-10-11,48
2009-10-18,0
2009-10-25,20
2009-11-01,0
2009-11-08,100
2009-11-15,0
2009-11-22,26
2009-11-29,0
2009-12-06,0
2009-12-13,0
2009-12-20,0
2009-12-27,0
