Category: All categories

Week,Energy: (Portugal),Bottled water: (Portugal)
2011-01-02,64,1
2011-01-09,82,0
2011-01-16,79,0
2011-01-23,76,1
2011-01-30,73,0
2011-02-06,79,2
2011-02-13,70,1
2011-02-20,82,0
2011-02-27,75,0
2011-03-06,66,1
2011-03-13,86,0
2011-03-20,79,1
2011-03-27,75,2
2011-04-03,69,0
2011-04-10,50,0
2011-04-17,58,0
2011-04-24,72,0
2011-05-01,81,0
2011-05-08,79,0
2011-05-15,91,0
2011-05-22,100,0
2011-05-29,95,1
2011-06-05,88,0
2011-06-12,96,1
2011-06-19,79,0
2011-06-26,99,0
2011-07-03,81,0
2011-07-10,79,0
2011-07-17,91,0
2011-07-24,77,0
2011-07-31,55,2
2011-08-07,46,0
2011-08-14,42,0
2011-08-21,51,0
2011-08-28,43,0
2011-09-04,51,0
2011-09-11,48,0
2011-09-18,57,0
2011-09-25,60,1
2011-10-02,64,0
2011-10-09,60,0
2011-10-16,72,0
2011-10-23,63,0
2011-10-30,58,0
2011-11-06,67,0
2011-11-13,70,0
2011-11-20,64,0
2011-11-27,61,1
2011-12-04,58,0
2011-12-11,66,0
2011-12-18,40,1
2011-12-25,51,0
