Category: All categories

Week,Margarine: (Portugal)
2015-01-04,11
2015-01-11,21
2015-01-18,19
2015-01-25,5
2015-02-01,20
2015-02-08,18
2015-02-15,10
2015-02-22,19
2015-03-01,12
2015-03-08,8
2015-03-15,14
2015-03-22,7
2015-03-29,16
2015-04-05,13
2015-04-12,16
2015-04-19,24
2015-04-26,19
2015-05-03,13
2015-05-10,0
2015-05-17,15
2015-05-24,19
2015-05-31,12
2015-06-07,15
2015-06-14,9
2015-06-21,13
2015-06-28,12
2015-07-05,26
2015-07-12,11
2015-07-19,14
2015-07-26,0
2015-08-02,100
2015-08-09,24
2015-08-16,17
2015-08-23,8
2015-08-30,23
2015-09-06,10
2015-09-13,19
2015-09-20,21
2015-09-27,8
2015-10-04,16
2015-10-11,16
2015-10-18,12
2015-10-25,12
2015-11-01,46
2015-11-08,11
2015-11-15,13
2015-11-22,13
2015-11-29,14
2015-12-06,20
2015-12-13,16
2015-12-20,18
2015-12-27,13
