Category: All categories

Week,Travel agency: (Portugal)
2013-01-06,56
2013-01-13,66
2013-01-20,56
2013-01-27,43
2013-02-03,53
2013-02-10,57
2013-02-17,79
2013-02-24,67
2013-03-03,75
2013-03-10,80
2013-03-17,76
2013-03-24,67
2013-03-31,73
2013-04-07,91
2013-04-14,82
2013-04-21,85
2013-04-28,64
2013-05-05,79
2013-05-12,73
2013-05-19,71
2013-05-26,76
2013-06-02,72
2013-06-09,68
2013-06-16,87
2013-06-23,74
2013-06-30,95
2013-07-07,94
2013-07-14,95
2013-07-21,78
2013-07-28,100
2013-08-04,93
2013-08-11,73
2013-08-18,64
2013-08-25,55
2013-09-01,60
2013-09-08,48
2013-09-15,39
2013-09-22,52
2013-09-29,48
2013-10-06,65
2013-10-13,49
2013-10-20,42
2013-10-27,45
2013-11-03,55
2013-11-10,34
2013-11-17,43
2013-11-24,53
2013-12-01,43
2013-12-08,28
2013-12-15,35
2013-12-22,37
2013-12-29,61
2014-01-05,52
2014-01-12,55
2014-01-19,42
2014-01-26,70
2014-02-02,58
2014-02-09,55
2014-02-16,65
2014-02-23,52
2014-03-02,58
2014-03-09,55
2014-03-16,81
2014-03-23,91
2014-03-30,75
2014-04-06,61
2014-04-13,65
2014-04-20,59
2014-04-27,55
2014-05-04,71
2014-05-11,80
2014-05-18,68
2014-05-25,74
2014-06-01,60
2014-06-08,71
2014-06-15,70
2014-06-22,55
2014-06-29,82
2014-07-06,93
2014-07-13,84
2014-07-20,52
2014-07-27,74
2014-08-03,75
2014-08-10,74
2014-08-17,75
2014-08-24,60
2014-08-31,64
2014-09-07,45
2014-09-14,62
2014-09-21,48
2014-09-28,55
2014-10-05,33
2014-10-12,58
2014-10-19,45
2014-10-26,53
2014-11-02,42
2014-11-09,44
2014-11-16,23
2014-11-23,29
2014-11-30,37
2014-12-07,38
2014-12-14,27
2014-12-21,45
2014-12-28,28
