Category: All categories

Week,Potato: (Portugal)
2018-01-07,79
2018-01-14,80
2018-01-21,77
2018-01-28,73
2018-02-04,74
2018-02-11,79
2018-02-18,75
2018-02-25,75
2018-03-04,75
2018-03-11,74
2018-03-18,72
2018-03-25,68
2018-04-01,64
2018-04-08,66
2018-04-15,65
2018-04-22,73
2018-04-29,62
2018-05-06,63
2018-05-13,56
2018-05-20,55
2018-05-27,69
2018-06-03,59
2018-06-10,64
2018-06-17,50
2018-06-24,45
2018-07-01,53
2018-07-08,51
2018-07-15,57
2018-07-22,55
2018-07-29,48
2018-08-05,48
2018-08-12,53
2018-08-19,54
2018-08-26,63
2018-09-02,56
2018-09-09,56
2018-09-16,63
2018-09-23,59
2018-09-30,66
2018-10-07,72
2018-10-14,83
2018-10-21,82
2018-10-28,100
2018-11-04,83
2018-11-11,81
2018-11-18,80
2018-11-25,77
2018-12-02,63
2018-12-09,77
2018-12-16,88
2018-12-23,99
2018-12-30,73
