Category: All categories

Week,Energy: (Portugal),ebook: (Portugal)
2015-01-04,88,17
2015-01-11,100,14
2015-01-18,92,16
2015-01-25,87,14
2015-02-01,77,13
2015-02-08,77,13
2015-02-15,67,12
2015-02-22,93,12
2015-03-01,83,15
2015-03-08,82,16
2015-03-15,81,14
2015-03-22,73,11
2015-03-29,57,13
2015-04-05,72,11
2015-04-12,81,12
2015-04-19,76,13
2015-04-26,71,10
2015-05-03,77,10
2015-05-10,82,15
2015-05-17,77,10
2015-05-24,82,16
2015-05-31,71,9
2015-06-07,74,12
2015-06-14,66,9
2015-06-21,56,12
2015-06-28,55,10
2015-07-05,50,9
2015-07-12,50,13
2015-07-19,50,10
2015-07-26,56,11
2015-08-02,41,9
2015-08-09,43,12
2015-08-16,46,12
2015-08-23,46,14
2015-08-30,53,11
2015-09-06,52,14
2015-09-13,50,12
2015-09-20,58,14
2015-09-27,63,14
2015-10-04,63,12
2015-10-11,66,13
2015-10-18,64,13
2015-10-25,68,12
2015-11-01,69,10
2015-11-08,63,10
2015-11-15,64,13
2015-11-22,68,9
2015-11-29,71,12
2015-12-06,60,9
2015-12-13,64,10
2015-12-20,40,11
2015-12-27,51,13
