Category: All categories

Week,Energy: (Portugal),Auto insurance: (Portugal)
2012-01-01,74,1
2012-01-08,85,2
2012-01-15,84,1
2012-01-22,81,0
2012-01-29,70,0
2012-02-05,81,0
2012-02-12,73,0
2012-02-19,64,1
2012-02-26,77,0
2012-03-04,77,0
2012-03-11,84,1
2012-03-18,81,0
2012-03-25,64,0
2012-04-01,53,1
2012-04-08,68,0
2012-04-15,89,1
2012-04-22,75,0
2012-04-29,81,0
2012-05-06,90,2
2012-05-13,97,0
2012-05-20,95,2
2012-05-27,100,2
2012-06-03,83,0
2012-06-10,77,0
2012-06-17,67,1
2012-06-24,72,1
2012-07-01,67,0
2012-07-08,60,1
2012-07-15,51,1
2012-07-22,46,1
2012-07-29,42,1
2012-08-05,42,2
2012-08-12,41,0
2012-08-19,45,0
2012-08-26,46,1
2012-09-02,46,0
2012-09-09,58,2
2012-09-16,66,1
2012-09-23,56,1
2012-09-30,52,1
2012-10-07,58,0
2012-10-14,61,0
2012-10-21,62,0
2012-10-28,63,0
2012-11-04,67,0
2012-11-11,63,0
2012-11-18,66,1
2012-11-25,71,0
2012-12-02,69,0
2012-12-09,67,1
2012-12-16,56,0
2012-12-23,64,1
2012-12-30,72,2
