Category: All categories

Week,Petroleum: (Portugal)
2015-01-04,76
2015-01-11,100
2015-01-18,75
2015-01-25,79
2015-02-01,100
2015-02-08,80
2015-02-15,65
2015-02-22,67
2015-03-01,55
2015-03-08,48
2015-03-15,56
2015-03-22,40
2015-03-29,36
2015-04-05,42
2015-04-12,44
2015-04-19,44
2015-04-26,45
2015-05-03,43
2015-05-10,52
2015-05-17,52
2015-05-24,49
2015-05-31,35
2015-06-07,45
2015-06-14,37
2015-06-21,26
2015-06-28,30
2015-07-05,31
2015-07-12,34
2015-07-19,47
2015-07-26,29
2015-08-02,51
2015-08-09,39
2015-08-16,49
2015-08-23,61
2015-08-30,58
2015-09-06,47
2015-09-13,48
2015-09-20,38
2015-09-27,34
2015-10-04,47
2015-10-11,44
2015-10-18,42
2015-10-25,39
2015-11-01,39
2015-11-08,44
2015-11-15,55
2015-11-22,45
2015-11-29,48
2015-12-06,59
2015-12-13,58
2015-12-20,38
2015-12-27,41
