Category: All categories

Week,Energy: (Portugal),Auto insurance: (Portugal)
2006-01-01,65,5
2006-01-08,66,0
2006-01-15,60,0
2006-01-22,52,0
2006-01-29,58,4
2006-02-05,63,4
2006-02-12,44,4
2006-02-19,66,0
2006-02-26,56,0
2006-03-05,55,0
2006-03-12,57,0
2006-03-19,60,0
2006-03-26,51,9
2006-04-02,44,0
2006-04-09,42,0
2006-04-16,62,3
2006-04-23,63,0
2006-04-30,83,2
2006-05-07,92,0
2006-05-14,86,0
2006-05-21,100,3
2006-05-28,75,0
2006-06-04,97,5
2006-06-11,60,6
2006-06-18,41,0
2006-06-25,38,0
2006-07-02,33,3
2006-07-09,33,6
2006-07-16,33,0
2006-07-23,34,0
2006-07-30,28,5
2006-08-06,30,0
2006-08-13,28,0
2006-08-20,24,0
2006-08-27,35,0
2006-09-03,26,0
2006-09-10,28,0
2006-09-17,40,2
2006-09-24,52,0
2006-10-01,61,0
2006-10-08,55,0
2006-10-15,51,0
2006-10-22,62,5
2006-10-29,49,2
2006-11-05,54,0
2006-11-12,45,0
2006-11-19,56,0
2006-11-26,50,5
2006-12-03,47,0
2006-12-10,48,0
2006-12-17,32,4
2006-12-24,29,8
2006-12-31,39,2
