Category: All categories

Week,Amusement park: (Portugal)
2007-01-07,45
2007-01-14,0
2007-01-21,0
2007-01-28,26
2007-02-04,30
2007-02-11,0
2007-02-18,37
2007-02-25,49
2007-03-04,53
2007-03-11,33
2007-03-18,18
2007-03-25,51
2007-04-01,0
2007-04-08,38
2007-04-15,46
2007-04-22,26
2007-04-29,40
2007-05-06,35
2007-05-13,0
2007-05-20,32
2007-05-27,72
2007-06-03,41
2007-06-10,34
2007-06-17,55
2007-06-24,50
2007-07-01,100
2007-07-08,84
2007-07-15,68
2007-07-22,82
2007-07-29,32
2007-08-05,51
2007-08-12,20
2007-08-19,87
2007-08-26,0
2007-09-02,75
2007-09-09,31
2007-09-16,0
2007-09-23,18
2007-09-30,0
2007-10-07,0
2007-10-14,32
2007-10-21,0
2007-10-28,0
2007-11-04,16
2007-11-11,22
2007-11-18,0
2007-11-25,39
2007-12-02,26
2007-12-09,22
2007-12-16,18
2007-12-23,19
2007-12-30,20
