Category: All categories

Week,Energy: (Portugal),Lumber: (Portugal)
2017-01-01,62,3
2017-01-08,81,4
2017-01-15,92,3
2017-01-22,79,3
2017-01-29,78,4
2017-02-05,77,5
2017-02-12,76,2
2017-02-19,77,2
2017-02-26,77,4
2017-03-05,85,5
2017-03-12,88,2
2017-03-19,80,4
2017-03-26,88,4
2017-04-02,68,3
2017-04-09,67,5
2017-04-16,66,3
2017-04-23,77,4
2017-04-30,82,2
2017-05-07,85,3
2017-05-14,87,2
2017-05-21,86,3
2017-05-28,100,2
2017-06-04,88,0
2017-06-11,75,2
2017-06-18,58,2
2017-06-25,57,3
2017-07-02,65,1
2017-07-09,53,2
2017-07-16,61,3
2017-07-23,48,2
2017-07-30,53,5
2017-08-06,47,2
2017-08-13,47,2
2017-08-20,50,1
2017-08-27,52,0
2017-09-03,53,5
2017-09-10,54,4
2017-09-17,60,1
2017-09-24,63,3
2017-10-01,61,2
2017-10-08,67,3
2017-10-15,73,3
2017-10-22,66,3
2017-10-29,62,1
2017-11-05,69,2
2017-11-12,85,3
2017-11-19,68,3
2017-11-26,72,4
2017-12-03,64,4
2017-12-10,74,4
2017-12-17,57,4
2017-12-24,64,3
2017-12-31,77,5
