Category: All categories

Week,Energy: (Portugal),Underwear: (Portugal)
2010-01-03,67,3
2010-01-10,72,10
2010-01-17,72,5
2010-01-24,73,10
2010-01-31,76,4
2010-02-07,67,5
2010-02-14,56,9
2010-02-21,70,2
2010-02-28,67,3
2010-03-07,70,5
2010-03-14,65,2
2010-03-21,62,5
2010-03-28,41,4
2010-04-04,57,7
2010-04-11,75,2
2010-04-18,86,3
2010-04-25,74,5
2010-05-02,84,4
2010-05-09,78,7
2010-05-16,97,6
2010-05-23,100,2
2010-05-30,84,4
2010-06-06,69,6
2010-06-13,50,4
2010-06-20,42,0
2010-06-27,44,3
2010-07-04,45,3
2010-07-11,36,2
2010-07-18,37,8
2010-07-25,47,4
2010-08-01,38,5
2010-08-08,35,4
2010-08-15,37,2
2010-08-22,36,3
2010-08-29,31,7
2010-09-05,37,7
2010-09-12,50,6
2010-09-19,55,4
2010-09-26,54,6
2010-10-03,49,4
2010-10-10,60,3
2010-10-17,49,2
2010-10-24,56,3
2010-10-31,62,4
2010-11-07,59,5
2010-11-14,68,3
2010-11-21,61,1
2010-11-28,59,1
2010-12-05,56,4
2010-12-12,50,5
2010-12-19,32,0
2010-12-26,28,6
