Category: All categories

Week,Energy: (Portugal),Health care: (Portugal)
2011-01-02,64,2
2011-01-09,82,5
2011-01-16,79,4
2011-01-23,76,4
2011-01-30,73,5
2011-02-06,79,2
2011-02-13,70,4
2011-02-20,82,4
2011-02-27,75,4
2011-03-06,66,0
2011-03-13,86,4
2011-03-20,79,3
2011-03-27,75,2
2011-04-03,69,2
2011-04-10,50,3
2011-04-17,58,1
2011-04-24,72,2
2011-05-01,81,4
2011-05-08,79,3
2011-05-15,91,2
2011-05-22,100,4
2011-05-29,95,4
2011-06-05,88,4
2011-06-12,96,5
2011-06-19,79,2
2011-06-26,99,3
2011-07-03,81,2
2011-07-10,79,6
2011-07-17,91,1
2011-07-24,77,5
2011-07-31,55,2
2011-08-07,46,4
2011-08-14,42,2
2011-08-21,51,3
2011-08-28,43,2
2011-09-04,51,0
2011-09-11,48,3
2011-09-18,57,7
2011-09-25,60,5
2011-10-02,64,3
2011-10-09,60,3
2011-10-16,72,4
2011-10-23,63,2
2011-10-30,58,3
2011-11-06,67,6
2011-11-13,70,3
2011-11-20,64,2
2011-11-27,61,3
2011-12-04,58,3
2011-12-11,66,4
2011-12-18,40,3
2011-12-25,51,2
