Category: All categories

Week,Energy: (Portugal),Novel: (Portugal)
2010-01-03,65,0
2010-01-10,73,4
2010-01-17,69,2
2010-01-24,73,3
2010-01-31,76,3
2010-02-07,68,3
2010-02-14,55,2
2010-02-21,69,2
2010-02-28,64,3
2010-03-07,67,1
2010-03-14,65,2
2010-03-21,60,3
2010-03-28,45,1
2010-04-04,56,2
2010-04-11,72,3
2010-04-18,85,4
2010-04-25,75,2
2010-05-02,79,4
2010-05-09,76,4
2010-05-16,94,2
2010-05-23,100,1
2010-05-30,82,3
2010-06-06,66,5
2010-06-13,47,4
2010-06-20,39,0
2010-06-27,46,1
2010-07-04,45,3
2010-07-11,38,0
2010-07-18,36,3
2010-07-25,47,2
2010-08-01,42,2
2010-08-08,32,1
2010-08-15,37,7
2010-08-22,36,4
2010-08-29,30,4
2010-09-05,35,1
2010-09-12,51,1
2010-09-19,52,4
2010-09-26,47,4
2010-10-03,52,2
2010-10-10,57,4
2010-10-17,49,3
2010-10-24,55,7
2010-10-31,62,0
2010-11-07,60,1
2010-11-14,61,2
2010-11-21,60,2
2010-11-28,57,4
2010-12-05,55,3
2010-12-12,47,3
2010-12-19,33,0
2010-12-26,29,3
