Category: All categories

Week,Energy: (Portugal),Auto insurance: (Portugal)
2017-01-01,62,0
2017-01-08,81,1
2017-01-15,92,1
2017-01-22,79,1
2017-01-29,78,1
2017-02-05,77,1
2017-02-12,76,1
2017-02-19,77,1
2017-02-26,77,2
2017-03-05,85,0
2017-03-12,88,1
2017-03-19,80,0
2017-03-26,88,3
2017-04-02,68,2
2017-04-09,67,2
2017-04-16,66,1
2017-04-23,77,2
2017-04-30,82,3
2017-05-07,85,2
2017-05-14,87,1
2017-05-21,86,2
2017-05-28,100,0
2017-06-04,88,2
2017-06-11,75,2
2017-06-18,58,0
2017-06-25,57,4
2017-07-02,65,3
2017-07-09,53,2
2017-07-16,61,1
2017-07-23,48,0
2017-07-30,53,2
2017-08-06,47,1
2017-08-13,47,3
2017-08-20,50,3
2017-08-27,52,1
2017-09-03,53,2
2017-09-10,54,0
2017-09-17,60,3
2017-09-24,63,0
2017-10-01,61,1
2017-10-08,67,1
2017-10-15,73,0
2017-10-22,66,0
2017-10-29,62,2
2017-11-05,69,3
2017-11-12,85,3
2017-11-19,68,2
2017-11-26,72,0
2017-12-03,64,2
2017-12-10,74,0
2017-12-17,57,0
2017-12-24,64,1
2017-12-31,77,1
