Category: All categories

Week,Lawyer: (Portugal)
2011-01-02,86
2011-01-09,66
2011-01-16,81
2011-01-23,76
2011-01-30,70
2011-02-06,79
2011-02-13,70
2011-02-20,84
2011-02-27,73
2011-03-06,58
2011-03-13,79
2011-03-20,66
2011-03-27,63
2011-04-03,67
2011-04-10,67
2011-04-17,51
2011-04-24,61
2011-05-01,74
2011-05-08,78
2011-05-15,75
2011-05-22,82
2011-05-29,72
2011-06-05,70
2011-06-12,73
2011-06-19,56
2011-06-26,64
2011-07-03,69
2011-07-10,79
2011-07-17,79
2011-07-24,69
2011-07-31,59
2011-08-07,51
2011-08-14,41
2011-08-21,54
2011-08-28,65
2011-09-04,78
2011-09-11,86
2011-09-18,82
2011-09-25,95
2011-10-02,76
2011-10-09,100
2011-10-16,94
2011-10-23,66
2011-10-30,65
2011-11-06,97
2011-11-13,94
2011-11-20,90
2011-11-27,73
2011-12-04,58
2011-12-11,81
2011-12-18,66
2011-12-25,54
