Category: All categories

Week,Energy: (Portugal),Offal: (Portugal)
2018-01-07,82,0
2018-01-14,86,0
2018-01-21,85,2
2018-01-28,79,0
2018-02-04,72,0
2018-02-11,71,0
2018-02-18,82,0
2018-02-25,78,0
2018-03-04,82,0
2018-03-11,95,0
2018-03-18,83,0
2018-03-25,85,0
2018-04-01,82,0
2018-04-08,79,0
2018-04-15,90,0
2018-04-22,85,0
2018-04-29,89,3
2018-05-06,79,1
2018-05-13,80,0
2018-05-20,92,1
2018-05-27,77,0
2018-06-03,100,0
2018-06-10,82,0
2018-06-17,67,0
2018-06-24,59,0
2018-07-01,58,0
2018-07-08,55,0
2018-07-15,60,0
2018-07-22,59,0
2018-07-29,55,0
2018-08-05,51,0
2018-08-12,53,1
2018-08-19,55,0
2018-08-26,54,1
2018-09-02,59,0
2018-09-09,56,1
2018-09-16,59,2
2018-09-23,76,0
2018-09-30,69,0
2018-10-07,88,0
2018-10-14,74,0
2018-10-21,76,0
2018-10-28,68,0
2018-11-04,75,1
2018-11-11,76,0
2018-11-18,79,0
2018-11-25,81,0
2018-12-02,81,0
2018-12-09,66,0
2018-12-16,63,0
2018-12-23,49,0
2018-12-30,65,0
