Category: All categories

Week,Energy: (Portugal),Lumber: (Portugal)
2008-01-06,71,0
2008-01-13,66,0
2008-01-20,61,0
2008-01-27,62,0
2008-02-03,54,0
2008-02-10,61,1
2008-02-17,73,0
2008-02-24,73,0
2008-03-02,72,0
2008-03-09,60,0
2008-03-16,53,0
2008-03-23,47,0
2008-03-30,74,1
2008-04-06,68,1
2008-04-13,68,0
2008-04-20,82,2
2008-04-27,66,0
2008-05-04,89,0
2008-05-11,82,1
2008-05-18,90,2
2008-05-25,100,0
2008-06-01,95,2
2008-06-08,76,0
2008-06-15,69,0
2008-06-22,55,1
2008-06-29,50,3
2008-07-06,51,0
2008-07-13,60,0
2008-07-20,35,0
2008-07-27,31,0
2008-08-03,34,0
2008-08-10,28,0
2008-08-17,38,0
2008-08-24,32,0
2008-08-31,36,2
2008-09-07,39,3
2008-09-14,52,1
2008-09-21,59,0
2008-09-28,61,1
2008-10-05,66,0
2008-10-12,60,2
2008-10-19,58,1
2008-10-26,59,1
2008-11-02,53,1
2008-11-09,65,0
2008-11-16,72,1
2008-11-23,61,2
2008-11-30,57,0
2008-12-07,54,1
2008-12-14,63,1
2008-12-21,40,3
2008-12-28,51,0
